,Make
1232,BOEING
1233,PIPER
1234,CESSNA
1235,BEECH
1236,CESSNA
1237,CESSNA
1238,BEECH
1239,CESSNA
1240,PIPER
1241,CESSNA
1242,HUGHES
1243,CESSNA
1244,CESSNA
1245,SWEARINGEN
1246,PIPER
1247,BELL
1248,PIPER
1249,BEECH
1250,GULFSTREAM AMERICAN
1251,BELL
1252,CESSNA
1253,CESSNA
1254,CESSNA
1255,CESSNA
1256,CESSNA
1257,STINSON
1258,CESSNA
1259,CESSNA
1260,HOMEBUILT
1261,CESSNA
1262,CESSNA
1263,CHAMPION
1264,CESSNA
1265,BELLANCA
1266,HUGHES
1267,GRUMMAN
1268,ROCKWELL
1269,CESSNA
1270,CESSNA
1271,PIPER
1272,PIPER
1273,GRUMMAN
1274,BELL
1275,CESSNA
1276,CESSNA
1277,BALLOON WORKS
1278,BLANIK
1279,BELL
1280,BELL
1281,CESSNA
1282,CESSNA
1283,BAC
1284,PIPER
1285,PIPER
1286,CESSNA
1287,CESSNA
1288,PIPER
1289,BELL
1290,BOEING
1291,PIPER
1292,BROYILL-COWAN-MURRAY
1293,GRUMMAN
1294,BEECH
1295,DOUGLAS
1296,CESSNA
1297,GRUMMAN
1298,BELLANCA
1299,BEECH
1300,BOEING
1301,PIPER
1302,CESSNA
1303,BELLANCA
1304,CESSNA
1305,PIPER
1306,CESSNA
1307,CESSNA
1308,CESSNA
1309,PIPER
1310,BEECH
1311,ERCO
1312,CESSNA
1313,BRANTLY
1314,PIPER
1315,AERONCA
1316,CESSNA
1317,LAKE
1318,GRUMMAN
1319,LUSCOMBE
1320,GRUMMAN
1321,CESSNA
1322,ROBINSON
1323,CESSNA
1324,CESSNA
1325,BELL
1326,CESSNA
1327,CESSNA
1328,BEECH
1329,LUSCOMBE
1330,CESSNA
1331,CESSNA
1332,CESSNA
1333,CESSNA
1334,GRUMMAN
1335,CESSNA
1336,PITTS SPECIAL
1337,SCHLEICHER
1338,PIPER
1339,BEECH
1340,CESSNA
1341,CESSNA
1342,HUGHES
1343,DOUGLAS
1344,CESSNA
1345,CESSNA
1346,CESSNA
1347,DOUGLAS
1348,CESSNA
1349,CESSNA
1350,BELL
1351,ROBINSON
1352,CESSNA
1353,PIPER
1354,HUGHES
1355,PIPER
1356,CALLAIR
1357,PIPER
1358,GRUMMAN
